timestamp_utc,DESF_TA__KVAR_A,DESF_TA__KVAR_B,DESF_TA__KVAR_C,DESF_TA__KVAR_TOT
2026-02-01 02:49:00+00:00,823.01135,810.1906,8085.981,2441.8057
2026-02-01 02:50:00+00:00,831.06134,817.39545,8152.727,2463.6658
2026-02-01 02:51:00+00:00,824.17554,811.25604,8087.74,2444.2642
2026-02-01 02:52:00+00:00,824.83203,811.99603,8097.18,2446.572
2026-02-01 02:53:00+00:00,865.56396,849.3862,8458.451,2560.0393
2026-02-01 02:54:00+00:00,830.74084,817.96875,8146.163,2462.7673
2026-02-01 02:55:00+00:00,831.83203,818.854,8163.0,2467.0159
2026-02-01 02:56:00+00:00,842.832,829.1383,8265.319,2498.5
2026-02-01 02:57:00+00:00,854.758,839.40814,8360.5,2529.842
2026-02-01 02:58:00+00:00,850.6429,836.01636,8329.47,2519.6062
2026-02-01 02:59:00+00:00,860.67346,845.33057,8426.225,2548.6306
2026-02-01 03:00:00+00:00,844.7866,830.5578,8288.688,2504.2178
2026-02-01 03:01:00+00:00,833.3176,819.2196,8178.92,2470.144
2026-02-01 03:02:00+00:00,825.17645,811.1255,8098.7646,2446.1843
2026-02-01 03:03:00+00:00,824.0509,810.81506,8089.0,2443.7622
2026-02-01 03:04:00+00:00,863.05865,847.3978,8443.826,2554.8586
2026-02-01 03:05:00+00:00,814.53845,802.1404,8019.5884,2417.879
2026-02-01 03:06:00+00:00,800.4729,788.85004,7887.0415,2378.029
2026-02-01 03:07:00+00:00,816.502,803.56396,8023.54,2422.416
2026-02-01 03:08:00+00:00,809.14795,796.766,7966.46,2402.564
2026-02-01 03:09:00+00:00,848.92,833.60205,8321.86,2514.66
2026-02-01 03:10:00+00:00,848.54083,832.8592,8306.816,2512.059
2026-02-01 03:11:00+00:00,874.70197,857.2137,8537.0,2585.6118
2026-02-01 03:12:00+00:00,863.4884,846.7712,8442.904,2554.5498
2026-02-01 03:13:00+00:00,885.2846,867.0,8631.862,2616.306
2026-02-01 03:14:00+00:00,893.3404,874.8538,8714.846,2639.6787
2026-02-01 03:15:00+00:00,836.46277,821.2667,8198.333,2477.5923
2026-02-01 03:16:00+00:00,875.0688,857.95416,8549.083,2587.8416
2026-02-01 03:17:00+00:00,868.89813,852.10364,8488.964,2571.0723
2026-02-01 03:18:00+00:00,861.4388,844.8939,8419.184,2548.2205
2026-02-01 03:19:00+00:00,860.9923,844.3481,8412.923,2546.6135
2026-02-01 03:20:00+00:00,871.81665,854.0417,8506.708,2576.4749
2026-02-01 03:21:00+00:00,821.8353,807.17645,8059.451,2434.947
2026-02-01 03:22:00+00:00,837.0915,821.57446,8195.83,2478.2446
2026-02-01 03:23:00+00:00,909.4549,890.2529,8855.529,2685.2705
2026-02-01 03:24:00+00:00,842.7511,827.066,8246.128,2494.4468
2026-02-01 03:25:00+00:00,844.38434,828.4255,8260.667,2498.8882
